studentAdmissionNo,className,sectionName,status,startDate,endDate
ADM-1000,Class 1,A,transferred,2024-06-01,2025-03-31
ADM-1001,Class 2,B,active,2024-06-01,
ADM-1002,Class 3,A,active,2024-06-01,
ADM-1003,Class 4,B,active,2024-06-01,
ADM-1004,Class 5,A,active,2024-06-01,
ADM-1005,Class 6,B,active,2024-06-01,
ADM-1006,Class 7,A,active,2024-06-01,
ADM-1007,Class 8,B,active,2024-06-01,
ADM-1008,Class 9,A,active,2024-06-01,
ADM-1009,Class 10,B,active,2024-06-01,
ADM-1010,Class 11,A,active,2024-06-01,
ADM-1011,Class 12,B,active,2024-06-01,
ADM-1012,Class 13,A,active,2024-06-01,
ADM-1013,Class 14,B,active,2024-06-01,
ADM-1014,Class 15,A,active,2024-06-01,
ADM-1015,Class 16,B,active,2024-06-01,
ADM-1016,Class 17,A,active,2024-06-01,
ADM-1017,Class 18,B,active,2024-06-01,
ADM-1018,Class 19,A,active,2024-06-01,
ADM-1019,Class 20,B,active,2024-06-01,
ADM-1020,Class 21,A,active,2024-06-01,
ADM-1021,Class 22,B,active,2024-06-01,
ADM-1022,Class 23,A,active,2024-06-01,
ADM-1023,Class 24,B,active,2024-06-01,
ADM-1024,Class 25,A,active,2024-06-01,
ADM-1025,Class 26,B,transferred,2024-06-01,2025-03-31
ADM-1026,Class 27,A,active,2024-06-01,
ADM-1027,Class 28,B,active,2024-06-01,
ADM-1028,Class 29,A,active,2024-06-01,
ADM-1029,Class 30,B,active,2024-06-01,
ADM-1030,Class 31,A,active,2024-06-01,
ADM-1031,Class 32,B,active,2024-06-01,
ADM-1032,Class 33,A,active,2024-06-01,
ADM-1033,Class 34,B,active,2024-06-01,
ADM-1034,Class 35,A,active,2024-06-01,
ADM-1035,Class 36,B,active,2024-06-01,
ADM-1036,Class 37,A,active,2024-06-01,
ADM-1037,Class 38,B,active,2024-06-01,
ADM-1038,Class 39,A,active,2024-06-01,
ADM-1039,Class 40,B,active,2024-06-01,
ADM-1040,Class 41,A,active,2024-06-01,
ADM-1041,Class 42,B,active,2024-06-01,
ADM-1042,Class 43,A,active,2024-06-01,
ADM-1043,Class 44,B,active,2024-06-01,
ADM-1044,Class 45,A,active,2024-06-01,
ADM-1045,Class 46,B,active,2024-06-01,
ADM-1046,Class 47,A,active,2024-06-01,
ADM-1047,Class 48,B,active,2024-06-01,
ADM-1048,Class 49,A,active,2024-06-01,
ADM-1049,Class 50,B,active,2024-06-01,
ADM-1050,Class 51,A,transferred,2024-06-01,2025-03-31
ADM-1051,Class 52,B,active,2024-06-01,
ADM-1052,Class 53,A,active,2024-06-01,
ADM-1053,Class 54,B,active,2024-06-01,
ADM-1054,Class 55,A,active,2024-06-01,
ADM-1055,Class 56,B,active,2024-06-01,
ADM-1056,Class 57,A,active,2024-06-01,
ADM-1057,Class 58,B,active,2024-06-01,
ADM-1058,Class 59,A,active,2024-06-01,
ADM-1059,Class 60,B,active,2024-06-01,
ADM-1060,Class 61,A,active,2024-06-01,
ADM-1061,Class 62,B,active,2024-06-01,
ADM-1062,Class 63,A,active,2024-06-01,
ADM-1063,Class 64,B,active,2024-06-01,
ADM-1064,Class 65,A,active,2024-06-01,
ADM-1065,Class 66,B,active,2024-06-01,
ADM-1066,Class 67,A,active,2024-06-01,
ADM-1067,Class 68,B,active,2024-06-01,
ADM-1068,Class 69,A,active,2024-06-01,
ADM-1069,Class 70,B,active,2024-06-01,
ADM-1070,Class 71,A,active,2024-06-01,
ADM-1071,Class 72,B,active,2024-06-01,
ADM-1072,Class 73,A,active,2024-06-01,
ADM-1073,Class 74,B,active,2024-06-01,
ADM-1074,Class 75,A,active,2024-06-01,
ADM-1075,Class 76,B,transferred,2024-06-01,2025-03-31
ADM-1076,Class 77,A,active,2024-06-01,
ADM-1077,Class 78,B,active,2024-06-01,
ADM-1078,Class 79,A,active,2024-06-01,
ADM-1079,Class 80,B,active,2024-06-01,
ADM-1080,Class 81,A,active,2024-06-01,
ADM-1081,Class 82,B,active,2024-06-01,
ADM-1082,Class 83,A,active,2024-06-01,
ADM-1083,Class 84,B,active,2024-06-01,
ADM-1084,Class 85,A,active,2024-06-01,
ADM-1085,Class 86,B,active,2024-06-01,
ADM-1086,Class 87,A,active,2024-06-01,
ADM-1087,Class 88,B,active,2024-06-01,
ADM-1088,Class 89,A,active,2024-06-01,
ADM-1089,Class 90,B,active,2024-06-01,
ADM-1090,Class 91,A,active,2024-06-01,
ADM-1091,Class 92,B,active,2024-06-01,
ADM-1092,Class 93,A,active,2024-06-01,
ADM-1093,Class 94,B,active,2024-06-01,
ADM-1094,Class 95,A,active,2024-06-01,
ADM-1095,Class 96,B,active,2024-06-01,
ADM-1096,Class 97,A,active,2024-06-01,
ADM-1097,Class 98,B,active,2024-06-01,
ADM-1098,Class 99,A,active,2024-06-01,
ADM-1099,Class 100,B,active,2024-06-01,
ADM-1100,Class 1,A,transferred,2024-06-01,2025-03-31
ADM-1101,Class 2,B,active,2024-06-01,
ADM-1102,Class 3,A,active,2024-06-01,
ADM-1103,Class 4,B,active,2024-06-01,
ADM-1104,Class 5,A,active,2024-06-01,
ADM-1105,Class 6,B,active,2024-06-01,
ADM-1106,Class 7,A,active,2024-06-01,
ADM-1107,Class 8,B,active,2024-06-01,
ADM-1108,Class 9,A,active,2024-06-01,
ADM-1109,Class 10,B,active,2024-06-01,
ADM-1110,Class 11,A,active,2024-06-01,
ADM-1111,Class 12,B,active,2024-06-01,
ADM-1112,Class 13,A,active,2024-06-01,
ADM-1113,Class 14,B,active,2024-06-01,
ADM-1114,Class 15,A,active,2024-06-01,
ADM-1115,Class 16,B,active,2024-06-01,
ADM-1116,Class 17,A,active,2024-06-01,
ADM-1117,Class 18,B,active,2024-06-01,
ADM-1118,Class 19,A,active,2024-06-01,
ADM-1119,Class 20,B,active,2024-06-01,
ADM-1120,Class 21,A,active,2024-06-01,
ADM-1121,Class 22,B,active,2024-06-01,
ADM-1122,Class 23,A,active,2024-06-01,
ADM-1123,Class 24,B,active,2024-06-01,
ADM-1124,Class 25,A,active,2024-06-01,
ADM-1125,Class 26,B,transferred,2024-06-01,2025-03-31
ADM-1126,Class 27,A,active,2024-06-01,
ADM-1127,Class 28,B,active,2024-06-01,
ADM-1128,Class 29,A,active,2024-06-01,
ADM-1129,Class 30,B,active,2024-06-01,
ADM-1130,Class 31,A,active,2024-06-01,
ADM-1131,Class 32,B,active,2024-06-01,
ADM-1132,Class 33,A,active,2024-06-01,
ADM-1133,Class 34,B,active,2024-06-01,
ADM-1134,Class 35,A,active,2024-06-01,
ADM-1135,Class 36,B,active,2024-06-01,
ADM-1136,Class 37,A,active,2024-06-01,
ADM-1137,Class 38,B,active,2024-06-01,
ADM-1138,Class 39,A,active,2024-06-01,
ADM-1139,Class 40,B,active,2024-06-01,
ADM-1140,Class 41,A,active,2024-06-01,
ADM-1141,Class 42,B,active,2024-06-01,
ADM-1142,Class 43,A,active,2024-06-01,
ADM-1143,Class 44,B,active,2024-06-01,
ADM-1144,Class 45,A,active,2024-06-01,
ADM-1145,Class 46,B,active,2024-06-01,
ADM-1146,Class 47,A,active,2024-06-01,
ADM-1147,Class 48,B,active,2024-06-01,
ADM-1148,Class 49,A,active,2024-06-01,
ADM-1149,Class 50,B,active,2024-06-01,
ADM-1150,Class 51,A,transferred,2024-06-01,2025-03-31
ADM-1151,Class 52,B,active,2024-06-01,
ADM-1152,Class 53,A,active,2024-06-01,
ADM-1153,Class 54,B,active,2024-06-01,
ADM-1154,Class 55,A,active,2024-06-01,
ADM-1155,Class 56,B,active,2024-06-01,
ADM-1156,Class 57,A,active,2024-06-01,
ADM-1157,Class 58,B,active,2024-06-01,
ADM-1158,Class 59,A,active,2024-06-01,
ADM-1159,Class 60,B,active,2024-06-01,
ADM-1160,Class 61,A,active,2024-06-01,
ADM-1161,Class 62,B,active,2024-06-01,
ADM-1162,Class 63,A,active,2024-06-01,
ADM-1163,Class 64,B,active,2024-06-01,
ADM-1164,Class 65,A,active,2024-06-01,
ADM-1165,Class 66,B,active,2024-06-01,
ADM-1166,Class 67,A,active,2024-06-01,
ADM-1167,Class 68,B,active,2024-06-01,
ADM-1168,Class 69,A,active,2024-06-01,
ADM-1169,Class 70,B,active,2024-06-01,
ADM-1170,Class 71,A,active,2024-06-01,
ADM-1171,Class 72,B,active,2024-06-01,
ADM-1172,Class 73,A,active,2024-06-01,
ADM-1173,Class 74,B,active,2024-06-01,
ADM-1174,Class 75,A,active,2024-06-01,
ADM-1175,Class 76,B,transferred,2024-06-01,2025-03-31
ADM-1176,Class 77,A,active,2024-06-01,
ADM-1177,Class 78,B,active,2024-06-01,
ADM-1178,Class 79,A,active,2024-06-01,
ADM-1179,Class 80,B,active,2024-06-01,
ADM-1180,Class 81,A,active,2024-06-01,
ADM-1181,Class 82,B,active,2024-06-01,
ADM-1182,Class 83,A,active,2024-06-01,
ADM-1183,Class 84,B,active,2024-06-01,
ADM-1184,Class 85,A,active,2024-06-01,
